Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,start_date,days
Arizona,US,2020-07-05 04:34:00,33.7298,-111.4312,94567,1817,10903.0,81847.0,4.0,1299.2262235226347,589508.0,5068.0,1.9213890680681425,84000004.0,USA,8099.064711541883,5.359163344507069,2020-04-12,84
California,US,2020-07-05 04:34:00,36.1162,-119.6816,252895,6334,,246561.0,6.0,640.0424496490617,4553031.0,,2.5045967694102296,84000006.0,USA,11523.09501796444,,2020-04-12,84
Florida,US,2020-07-05 04:34:00,27.7663,-81.6868,190052,3702,,186350.0,12.0,884.8790726881515,2146497.0,16040.0,1.9478879464567591,84000012.0,USA,9994.055705216988,8.439795424410162,2020-04-12,84
Georgia,US,2020-07-05 04:34:00,33.0406,-83.6431,93319,2857,,90462.0,13.0,878.9232566132102,926359.0,11743.0,3.061541593887633,84000013.0,USA,8724.894920358734,12.583718213868556,2020-04-12,84
Illinois,US,2020-07-05 04:34:00,40.3495,-88.9861,146612,7014,,139598.0,17.0,1156.9923533484255,1735593.0,,4.784055875371728,84000017.0,USA,13696.47661531835,,2020-04-12,84
New Jersey,US,2020-07-05 04:34:00,40.2989,-74.521,173033,15189,30565.0,127279.0,34.0,1948.089378858142,1508548.0,20233.0,8.778094351944427,84000034.0,USA,16983.964540276666,11.693145238191557,2020-04-12,84
New York,US,2020-07-05 04:34:00,42.1657,-74.9481,396598,32157,70877.0,293564.0,36.0,2038.691013948552,4170388.0,89995.0,8.108210328846843,84000036.0,USA,21437.658637408334,22.691743276567202,2020-04-12,84
North Carolina,US,2020-07-05 04:34:00,35.6301,-79.8064,71670,1422,45538.0,24710.0,37.0,683.3469297156659,1018296.0,,1.9840937630807869,84000037.0,USA,9709.075556603091,,2020-04-12,84
Texas,US,2020-07-05 04:34:00,31.0545,-97.5635,192153,2607,97430.0,92116.0,48.0,662.6906766516253,2071809.0,,1.356731354701722,84000048.0,USA,7145.1838280064685,,2020-04-12,84
Arizona,US,2020-08-01 04:36:46,33.7298,-111.4312,174010,3694,22714.0,147602.0,4.0,2390.6685752447856,933743.0,11260.0,2.1228665019251767,84000004.0,USA,12828.400939341369,6.470892477443825,2020-04-12,111
California,US,2020-08-01 04:36:46,36.1162,-119.6816,500556,9214,,491342.0,6.0,1266.8383654344125,7811041.0,,1.84075308257218,84000006.0,USA,19768.670064450693,,2020-04-12,111
Florida,US,2020-08-01 04:36:46,27.7663,-81.6868,470386,6843,,463543.0,12.0,2190.109693586433,3628088.0,26905.0,1.4547626842635624,84000012.0,USA,16892.319707611652,5.7197705714030596,2020-04-12,111
Georgia,US,2020-08-01 04:36:46,33.0406,-83.6431,186352,3752,,182600.0,13.0,1755.1528275740734,1574687.0,18689.0,2.01339400704044,84000013.0,USA,14831.160065865324,10.028870095303512,2020-04-12,111
Illinois,US,2020-08-01 04:36:46,40.3495,-88.9861,180115,7692,,172423.0,17.0,1421.3821360008164,2700849.0,,4.270604891319436,84000017.0,USA,21313.81906357421,,2020-04-12,111
New Jersey,US,2020-08-01 04:36:46,40.2989,-74.521,181660,15819,32475.0,133366.0,34.0,2045.2163261537976,2096329.0,21565.0,8.708025982604866,84000034.0,USA,23601.487921334723,11.871077837718813,2020-04-12,111
New York,US,2020-08-01 04:36:46,42.1657,-74.9481,415014,32689,73055.0,309270.0,36.0,2133.3574865804776,5889237.0,89995.0,7.876601753193867,84000036.0,USA,30273.310886371914,21.68481063289431,2020-04-12,111
North Carolina,US,2020-08-01 04:36:46,35.6301,-79.8064,122298,1942,92302.0,28054.0,37.0,1166.066175671362,1757102.0,,1.5879245776709352,84000037.0,USA,16753.317383804326,,2020-04-12,111
Texas,US,2020-08-01 04:36:46,31.0545,-97.5635,438293,6576,273191.0,158526.0,48.0,1511.569867458071,3669752.0,,1.500366193391179,84000048.0,USA,12656.11484610521,,2020-04-12,111
Arizona,US,2020-07-31 04:35:31,33.7298,-111.4312,170798,3626,22358.0,144814.0,4.0,2346.539919054416,903954.0,11172.0,2.1229756788721184,84000004.0,USA,12419.13925215117,6.541060199768148,2020-04-12,110
California,US,2020-07-31 04:35:31,36.1162,-119.6816,492934,9026,,483908.0,6.0,1247.5481321311636,7633840.0,,1.8310767770127443,84000006.0,USA,19320.198714205475,,2020-04-12,110
Florida,US,2020-07-31 04:35:31,27.7663,-81.6868,461379,6586,,454793.0,12.0,2148.17324562639,3579117.0,26386.0,1.4274598540462395,84000012.0,USA,16664.31151475596,5.718942561321603,2020-04-12,110
Georgia,US,2020-07-31 04:35:31,33.0406,-83.6431,182286,3671,,178615.0,13.0,1716.8572826004956,1541389.0,18303.0,2.01386831682082,84000013.0,USA,14517.54347547423,10.040814983048616,2020-04-12,110
Illinois,US,2020-07-31 04:35:31,40.3495,-88.9861,178135,7670,,170465.0,17.0,1405.756915284709,2651028.0,,4.305723187470177,84000017.0,USA,20920.655365949377,,2020-04-12,110
New Jersey,US,2020-07-31 04:35:31,40.2989,-74.521,180970,15809,32423.0,132738.0,34.0,2037.4479717276931,2059564.0,21565.0,8.735702050063546,84000034.0,USA,23187.56973223946,11.916339724816268,2020-04-12,110
New York,US,2020-07-31 04:35:31,42.1657,-74.9481,414370,32683,72973.0,308714.0,36.0,2130.047038688701,5820368.0,89995.0,7.887395323020488,84000036.0,USA,29919.29343938624,21.718512440572443,2020-04-12,110
North Carolina,US,2020-07-31 04:35:31,35.6301,-79.8064,120532,1922,92302.0,26308.0,37.0,1149.2280191501136,1724924.0,,1.594597285368201,84000037.0,USA,16446.512060734833,,2020-04-12,110
Texas,US,2020-07-31 04:35:31,31.0545,-97.5635,428229,6442,260542.0,161245.0,48.0,1476.8614893956835,3609474.0,,1.5043352972358248,84000048.0,USA,12448.23014689569,,2020-04-12,110
Arizona,US,2020-08-15 04:30:23,33.7298,-111.4312,191721,4423,27029.0,160269.0,4.0,2633.9944251164043,1067575.0,20515.0,2.306998190078291,84000004.0,USA,14667.076629026791,10.700444917353863,2020-04-12,125
California,US,2020-08-15 04:30:23,36.1162,-119.6816,613101,11148,,601953.0,6.0,1551.6742755779649,9556598.0,,1.8182974746412093,84000006.0,USA,24186.434663521715,,2020-04-12,125
Florida,US,2020-08-15 04:30:23,27.7663,-81.6868,563285,9141,,554144.0,12.0,2622.645951945496,4160565.0,33568.0,1.6228019563808729,84000012.0,USA,19371.524104238728,5.959327871326237,2020-04-12,125
Georgia,US,2020-08-15 04:30:23,33.0406,-83.6431,231895,4573,,227322.0,13.0,2184.0987215070927,1970053.0,21818.0,1.9720131956273312,84000013.0,USA,18554.90734427742,9.40856853317234,2020-04-12,125
Illinois,US,2020-08-15 04:30:23,40.3495,-88.9861,204023,7932,,196091.0,17.0,1610.0527303850015,3286680.0,,3.887796964067777,84000017.0,USA,25936.919405663954,,2020-04-12,125
New Jersey,US,2020-08-15 04:30:23,40.2989,-74.521,187164,15903,33223.0,138038.0,34.0,2107.1830258078244,2429841.0,22161.0,8.496826312752452,84000034.0,USA,27356.327662434604,11.840418029108164,2020-04-12,125
New York,US,2020-08-15 04:30:23,42.1657,-74.9481,424167,32827,73997.0,317343.0,36.0,2180.4079983094102,6901836.0,89995.0,7.73916877079075,84000036.0,USA,35478.522415510466,21.216879200880786,2020-04-12,125
North Carolina,US,2020-08-15 04:30:23,35.6301,-79.8064,142170,2313,116969.0,22888.0,37.0,1355.5383423702554,1877402.0,,1.6269255117113317,84000037.0,USA,17900.333368802156,,2020-04-12,125
Texas,US,2020-08-15 04:30:23,31.0545,-97.5635,539673,10078,383717.0,145878.0,48.0,1861.205734704181,4282041.0,,1.8674271271677478,84000048.0,USA,14767.75615129611,,2020-04-12,125
Arizona,US,2020-08-16 04:30:18,33.7298,-111.4312,192654,4492,27339.0,160823.0,4.0,2646.8126182127976,1077191.0,20795.0,2.3316411805620443,84000004.0,USA,14799.187823898086,10.793962232811156,2020-04-12,126
California,US,2020-08-16 04:30:18,36.1162,-119.6816,617994,11218,,606776.0,6.0,1564.0577853592292,9681111.0,,1.815227979559672,84000006.0,USA,24501.55993501049,,2020-04-12,126
Florida,US,2020-08-16 04:30:18,27.7663,-81.6868,569637,9345,,560292.0,12.0,2652.220762364303,4202725.0,34074.0,1.6405184354246651,84000012.0,USA,19567.82039001595,5.981704137898346,2020-04-12,126
Georgia,US,2020-08-16 04:30:18,33.0406,-83.6431,235168,4669,,230499.0,13.0,2214.9254108082537,1988066.0,22028.0,1.9853891685943663,84000013.0,USA,18724.562447968776,9.366920669478839,2020-04-12,126
Illinois,US,2020-08-16 04:30:18,40.3495,-88.9861,205851,7937,,197914.0,17.0,1624.4784392077509,3331094.0,,3.8557014539642753,84000017.0,USA,26287.413624292836,,2020-04-12,126
New Jersey,US,2020-08-16 04:30:18,40.2989,-74.521,187442,15910,33264.0,138268.0,34.0,2110.3128845476167,2461383.0,22197.0,8.487958941966047,84000034.0,USA,27711.44278606965,11.842063144866145,2020-04-12,126
New York,US,2020-08-16 04:30:18,42.1657,-74.9481,424901,32833,74081.0,317987.0,36.0,2184.1810864345093,6990504.0,89995.0,7.727211750501883,84000036.0,USA,35934.31557338011,21.18022786484381,2020-04-12,126
North Carolina,US,2020-08-16 04:30:18,35.6301,-79.8064,143704,2343,116969.0,24392.0,37.0,1370.1644647392222,1903401.0,,1.6304347826086956,84000037.0,USA,18148.224213307218,,2020-04-12,126
Texas,US,2020-08-16 04:30:18,31.0545,-97.5635,546552,10268,393266.0,143018.0,48.0,1884.9297939938433,4321676.0,,1.8786867489278238,84000048.0,USA,14904.447980042407,,2020-04-12,126
Arizona,US,2020-09-17 04:30:32,33.7298,-111.4312,209907,5371,33250.0,171286.0,4.0,2883.846150358641,1328461.0,,2.5587522093117427,84000004.0,USA,18251.30720153016,,2020-04-12,158
California,US,2020-09-17 04:30:32,36.1162,-119.6816,771321,14691,,756630.0,6.0,1952.1073263835349,13000522.0,,1.9046544823750424,84000006.0,USA,32902.532464447766,,2020-04-12,158
Florida,US,2020-09-17 04:30:32,27.7663,-81.6868,671201,12939,,658262.0,12.0,3125.101122152673,4984023.0,,1.9277384866828269,84000012.0,USA,23205.531383497248,,2020-04-12,158
Georgia,US,2020-09-17 04:30:32,33.0406,-83.6431,299056,6419,,292637.0,13.0,2816.653344224865,2654121.0,,2.1464207372532242,84000013.0,USA,24997.78901151437,,2020-04-12,158
Illinois,US,2020-09-17 04:30:32,40.3495,-88.9861,268238,8599,,259639.0,17.0,2116.8070477005635,4865233.0,,3.2057352053027537,84000017.0,USA,38394.11083852905,,2020-04-12,158
New Jersey,US,2020-09-17 04:30:32,40.2989,-74.521,197792,16054,34503.0,147235.0,34.0,2226.8382009391826,3234972.0,,8.116607345089793,84000034.0,USA,36420.88268771553,,2020-04-12,158
New York,US,2020-09-17 04:30:32,42.1657,-74.9481,446366,33042,75903.0,337421.0,36.0,2294.5207820820056,9530416.0,,7.402445526765032,84000036.0,USA,48990.59868781865,,2020-04-12,158
North Carolina,US,2020-09-17 04:30:32,35.6301,-79.8064,188024,3149,167257.0,17618.0,37.0,1792.7392648647742,2683384.0,,1.674786197506701,84000037.0,USA,25585.07349864856,,2020-04-12,158
Texas,US,2020-09-17 04:30:32,31.0545,-97.5635,696807,14738,590837.0,91232.0,48.0,2403.1240851071225,5299620.0,,2.1150763410815334,84000048.0,USA,18277.14770935913,,2020-04-12,158
Arizona,US,2020-09-18 05:10:31,33.7298,-111.4312,211660,5409,33381.0,172870.0,4.0,2907.9300651474705,1352882.0,,2.5555135594821885,84000004.0,USA,18586.81962768988,,2020-04-12,159
California,US,2020-09-18 05:10:31,36.1162,-119.6816,775037,14804,,760233.0,6.0,1961.512011106032,13080037.0,,1.9101023564036297,84000006.0,USA,33103.77398912737,,2020-04-12,159
Florida,US,2020-09-18 05:10:31,27.7663,-81.6868,674456,13086,,661370.0,12.0,3140.256350098709,5010973.0,,1.9402303486068773,84000012.0,USA,23331.01015251281,,2020-04-12,159
Georgia,US,2020-09-18 05:10:31,33.0406,-83.6431,300903,6474,,294429.0,13.0,2834.049279189498,2679891.0,,2.1515239130218045,84000013.0,USA,25240.503274664672,,2020-04-12,159
Illinois,US,2020-09-18 05:10:31,40.3495,-88.9861,270294,8624,,261670.0,17.0,2133.032024363349,4923033.0,,3.1905998653318237,84000017.0,USA,38850.24101902955,,2020-04-12,159
New Jersey,US,2020-09-18 05:10:31,40.2989,-74.521,198361,16057,34546.0,147758.0,34.0,2233.24427871955,3265818.0,,8.09483719077843,84000034.0,USA,36768.16190601642,,2020-04-12,159
New York,US,2020-09-18 05:10:31,42.1657,-74.9481,447262,33070,75962.0,338230.0,36.0,2299.126622627086,9621920.0,,7.393876519802711,84000036.0,USA,49460.97015348501,,2020-04-12,159
North Carolina,US,2020-09-18 05:10:31,35.6301,-79.8064,189576,3180,167257.0,19139.0,37.0,1807.5370105731424,2714175.0,,1.677427522471199,84000037.0,USA,25878.6542899542,,2020-04-12,159
Texas,US,2020-09-18 05:10:31,31.0545,-97.5635,701350,14826,594817.0,91707.0,48.0,2418.791827708218,5345176.0,,2.1139231482141585,84000048.0,USA,18434.25967984901,,2020-04-12,159
Arizona,US,2020-05-02 02:32:31,33.7298,-111.4312,7969,330,1528.0,6111.0,4.0,109.48358069148723,74879.0,1203.0,4.141046555402183,84000004.0,USA,1028.7389934242533,15.095996988329778,2020-04-12,20
California,US,2020-05-02 02:32:31,36.1162,-119.6816,52026,2126,0.0,49900.0,6.0,132.6902094488406,654985.0,,4.08641832929689,84000006.0,USA,1670.5127596941693,,2020-04-12,20
Florida,US,2020-05-02 02:32:31,27.7663,-81.6868,34728,1314,0.0,33414.0,12.0,163.55976275356872,402699.0,5795.0,3.7836903939184516,84000012.0,USA,1896.6065682187107,16.686823312600783,2020-04-12,20
Georgia,US,2020-05-02 02:32:31,33.0406,-83.6431,27489,1169,0.0,26320.0,13.0,271.110903778954,168367.0,5269.0,4.252610134963076,84000013.0,USA,1660.5234652606916,19.16766706682673,2020-04-12,20
Illinois,US,2020-05-02 02:32:31,40.3495,-88.9861,56055,2457,0.0,53598.0,17.0,477.64704699431724,284688.0,,4.383195076264383,84000017.0,USA,2425.8385962843313,,2020-04-12,20
New Jersey,US,2020-05-02 02:32:31,40.2989,-74.521,121190,7538,15642.0,98010.0,34.0,1364.4157578254913,256545.0,,6.21998514728938,84000034.0,USA,2888.3079510796324,,2020-04-12,20
New York,US,2020-05-02 02:32:31,42.1657,-74.9481,308314,24039,56187.0,228088.0,36.0,1828.5602447063568,927438.0,67180.0,7.796921320471987,84000036.0,USA,5500.484104614045,21.789474367041393,2020-04-12,20
North Carolina,US,2020-05-02 02:32:31,35.6301,-79.8064,11070,419,0.0,10651.0,37.0,111.61665175251757,133832.0,,3.7850045167118336,84000037.0,USA,1349.4019636262808,,2020-04-12,20
Texas,US,2020-05-02 02:32:31,31.0545,-97.5635,29692,840,14122.0,14730.0,48.0,129.18236724208046,351775.0,,2.8290448605685032,84000048.0,USA,1530.4838756763725,,2020-04-12,20
Arizona,US,2020-05-24 02:32:48,33.7298,-111.4312,16053,801,4033.0,11219.0,4.0,220.54711015691365,180439.0,1930.0,4.989721547374322,84000004.0,USA,2478.994581050479,12.022674889428767,2020-04-12,42
California,US,2020-05-24 02:32:48,36.1162,-119.6816,92539,3738,,88801.0,6.0,234.2034767317445,1515306.0,,4.039377991981759,84000006.0,USA,3835.0309978762775,,2020-04-12,42
Florida,US,2020-05-24 02:32:48,27.7663,-81.6868,50127,2233,,47894.0,12.0,233.39051036894625,856437.0,9567.0,4.45468509984639,84000012.0,USA,3987.5569758583038,19.08552277215872,2020-04-12,42
Georgia,US,2020-05-24 02:32:48,33.0406,-83.6431,42242,1822,,40420.0,13.0,397.85548715540483,453537.0,7411.0,4.313242744188249,84000013.0,USA,4271.629754225673,17.544150371668007,2020-04-12,42
Illinois,US,2020-05-24 02:32:48,40.3495,-88.9861,107796,4790,,103006.0,17.0,850.6748951078145,722247.0,,4.44357861145126,84000017.0,USA,5699.630700275832,,2020-04-12,42
New Jersey,US,2020-05-24 02:32:48,40.2989,-74.521,153140,11082,24762.0,117296.0,34.0,1724.1243432081505,578735.0,,7.236515606634453,84000034.0,USA,6515.679128683354,,2020-04-12,42
New York,US,2020-05-24 02:32:48,42.1657,-74.9481,359926,29031,63292.0,267603.0,36.0,1850.1805402106072,1652061.0,77034.0,8.065824641731911,84000036.0,USA,8492.332072261732,21.40273278396115,2020-04-12,42
